,Code,Document_Date,Country,Industry,DCN
115,CELH.OQ,2022-12-31,US,Non-Alcoholic Beverages (NEC),23694973
116,SOY.TO,2022-12-31,CA,Vegan & Vegetarian Food Manufacturing,23694862
117,BYND.OQ,2022-12-31,US,Vegan & Vegetarian Food Manufacturing,23693761
118,MNST.OQ,2022-12-31,US,Energy Drinks,23692473
119,TR.N,2022-12-31,US,Chocolate & Confectionery,23690848
120,FRPT.OQ,2022-12-31,US,Pet Food Manufacturing,23686896
121,BGS.N,2022-12-31,US,Food Processing (NEC),23686086
122,USNA.N,2022-12-31,US,Special Foods & Wellbeing Products,23684024
123,DAR.N,2022-12-31,US,Food Processing (NEC),23676439
124,IFF.N,2022-12-31,US,Food Ingredients,23675280
125,MO.N,2022-12-31,US,Cigars & Cigarette Manufacturing,23673046
126,BG.N,2022-12-31,BM,Food Processing (NEC),23667463
127,ANDE.OQ,2022-12-31,US,Fishing & Farming Wholesale,23660481
128,KDP.OQ,2022-12-31,US,Non-Alcoholic Beverages (NEC),23659708
129,MGPI.OQ,2022-12-31,US,Distillers & Wineries (NEC),23655956
130,SITE.N,2023-01-01,US,Agriculture Support Services,23655767
131,SAM.N,2022-12-31,US,Brewers (NEC),23654099
132,FDP.N,2022-12-30,KY,Fishing & Farming (NEC),23653037
133,FLO.N,2022-12-31,US,Bread & Bakery Product Manufacturing,23651135
134,MED.N,2022-12-31,US,Special Foods & Wellbeing Products,23649111
135,VGR.N,2022-12-31,US,Tobacco (NEC),23648910
136,K.N,2022-12-31,US,Food Processing (NEC),23648387
137,TWNK.OQ^K23,2022-12-31,US,Bread & Bakery Product Manufacturing,23648374
138,KO.N,2022-12-31,US,Non-Alcoholic Beverages (NEC),23648026
139,TAP.N,2022-12-31,US,Brewers (NEC),23646164
140,HSY.N,2022-12-31,US,Food Processing (NEC),23642044
141,KHC.OQ,2022-12-31,US,Food Processing (NEC),23637157
142,HLF.N,2022-12-31,KY,Special Foods & Wellbeing Products,23629714
143,YCRM.PK,2022-10-31,US,Frozen Food Manufacturing,23631161
144,SEB.A,2022-12-31,US,Food Processing (NEC),23629843
145,THS.N,2022-12-31,US,Food Processing (NEC),23618800
146,PM.N,2022-12-31,US,Tobacco (NEC),23608622
147,PPC.OQ,2022-12-25,US,Meat Processing,23606948
148,PEP.OQ,2022-12-31,US,Carbonated Soft Drinks,23600333
149,WUYI.PK^I22,2022-08-31,US,Non-Alcoholic Beverages (NEC),23592435
150,MDLZ.OQ,2022-12-31,US,Food Processing (NEC),23584572
151,BRID.OQ,2022-10-28,US,Food Processing (NEC),23558542
152,MKC.N,2022-11-30,US,Food Processing (NEC),23558468
153,NUZE.OQ,2022-09-30,US,Coffee & Tea,221485704
154,AVO.OQ,2022-10-31,US,"Vegetable, Fruit & Nut Farming",221482264
155,LMNR.OQ,2022-10-31,US,Agriculture Support Services,221482009
156,CVGW.OQ,2022-10-31,US,Fruit & Vegetable Processing,221475799
157,ALCO.OQ,2022-09-30,US,"Vegetable, Fruit & Nut Farming",221459825
158,HRL.N,2022-10-30,US,Meat Processing,221447274
159,JJSF.OQ,2022-09-24,US,Snack Food & Non-Chocolate Confectionary,221411295
160,CENT.OQ,2022-09-24,US,Pet Food Manufacturing,221410237
161,POST.N,2022-09-30,US,Breakfast Cereal Manufacturing,221399335
162,BRBR.N,2022-09-30,US,Special Foods & Wellbeing Products,221399381
163,TSN.N,2022-10-01,US,Meat Processing,221380011
164,CHSCP.OQ,2022-08-31,US,Fishing & Farming (NEC),221352767
165,AAGH.PK,2022-06-30,US,Special Foods & Wellbeing Products,221346934
166,SMPL.OQ,2022-08-27,US,Special Foods & Wellbeing Products,221323023
167,FTLF.OQ,2021-12-31,US,Special Foods & Wellbeing Products,221308846
168,WUYI.PK^I22,2021-08-31,US,Non-Alcoholic Beverages (NEC),221277625
169,NGTF.PK,2022-06-30,US,Frozen Food Manufacturing,221276807
170,NAPA.N,2022-07-31,US,Wineries,221276338
171,SANW.OQ,2022-06-30,US,Grain (Crop) Production,221275461
172,CSGN.PK^H09,2022-06-30,US,Food Processing (NEC),221261835
173,MJHI.PK,2022-05-31,US,Fishing & Farming (NEC),221261266
174,CPB.N,2022-07-31,US,Food Processing (NEC),221257864
175,—,2022-05-31,US,Energy Drinks,221241554
176,VWE.OQ,2022-06-30,US,Wineries,221241187
177,FARM.OQ,2022-06-30,US,Coffee & Tea,221222584
178,HAIN.OQ,2022-06-30,US,Food Ingredients,221197930
179,LANC.OQ,2022-06-30,US,Food Ingredients,221192994
180,JBSS.OQ,2022-06-30,US,Chocolate & Confectionery,221191672
181,CGSI.PK,2022-04-30,US,Agriculture Support Services,221164727
0,LW.N,2022-05-29,US,Food Processing (NEC),221110487
1,CAG.N,2022-05-29,US,Food Processing (NEC),221097438
2,LWAY.OQ,2021-12-31,US,Dairy Products,221095664
3,CALM.OQ,2022-05-28,US,Poultry Farming,221091652
4,WTER.OQ,2022-03-31,US,Bottled Water & Ice,221083549
5,OGAA.PK,2022-03-31,US,Grain (Crop) Production,221083204
6,SHMY.PK,2022-03-31,US,Food Ingredients,221082226
7,GIS.N,2022-05-29,US,Food Processing (NEC),221056058
8,SHMP.PK,2022-03-31,US,Aquaculture,221055380
9,FIZZ.OQ,2022-04-30,US,Non-Alcoholic Beverages (NEC),221054972
10,MJNE.PK,2021-12-31,US,Agriculture Support Services,221029186
11,BFb.N,2022-04-30,US,Distillers & Wineries (NEC),221023086
12,SJM.N,2022-04-30,US,Food Processing (NEC),221020782
13,ICNB.PK,2021-12-31,US,Distillers & Wineries (NEC),221017815
14,PYYX.PK,2022-03-31,US,Tobacco (NEC),221015421
15,DRFS.PK,2022-03-31,US,Food Processing (NEC),221011013
16,SENEA.OQ,2022-03-31,US,Frozen Food Manufacturing,221009038
17,RMCF.OQ,2022-02-28,US,Chocolate & Confectionery,22976723
18,MMMB.OQ,2022-01-31,US,Meat Processing,22975958
19,UVV.N,2022-03-31,US,Tobacco (NEC),22974233
20,—,2021-12-31,US,Special Foods & Wellbeing Products,22902529
21,GHMP.PK,2021-12-31,US,Non-Alcoholic Beverages (NEC),22847314
22,ZIVO.OQ,2021-12-31,US,Special Foods & Wellbeing Products,22845602
23,STZ.N,2022-02-28,US,Brewers (NEC),22840199
24,REED.OQ,2021-12-31,US,Carbonated Soft Drinks,22830602
25,VPRB.PK,2021-12-31,US,Tobacco (NEC),22830419
26,CIRX.PK,2021-12-31,US,Non-Alcoholic Beverages (NEC),22830374
27,TEOF.PK,2021-12-31,US,Frozen Food Manufacturing,22830341
28,ACBM.PK,2021-12-31,US,Special Foods & Wellbeing Products,22829950
29,AIXN.PK,2021-12-31,US,Health Food Stores,22829398
30,FIFG.PK,2021-12-31,US,Chocolate & Confectionery,22828247
31,HWTR.PK,2021-12-31,US,Non-Alcoholic Beverages (NEC),22826866
32,UOLI.PK,2021-12-31,US,Coffee & Tea,22826535
33,KGKG.PK,2021-12-31,US,Non-Alcoholic Beverages (NEC),22823465
34,CHUC.PK,2021-12-31,US,Tobacco (NEC),22822464
35,EWLU.PK,2021-12-31,US,Special Foods & Wellbeing Products,22820532
36,PACV.PK,2021-12-31,US,Food Processing (NEC),22819487
37,RLBD.PK,2021-12-31,US,Food Processing (NEC),22810741
38,BRBL.PK,2021-12-31,US,Brewers (NEC),22801010
39,TOFB.PK,2022-01-01,US,Frozen Food Manufacturing,22799011
40,PRPH.OQ,2021-12-31,US,Special Foods & Wellbeing Products,22794034
41,BDPT.PK,2021-12-31,US,Special Foods & Wellbeing Products,22794316
42,AGFY.OQ,2021-12-31,US,Agriculture Support Services,22794286
43,IVFH.PK,2021-12-31,US,Food Processing (NEC),22794030
44,SNAX.OQ,2021-12-31,US,Food Processing (NEC),22793608
45,VINE.A,2021-12-31,US,Wineries,22793229
46,SATT.PK,2021-12-31,US,Corporate Accounting Services,22792604
47,LIFD.PK,2021-12-31,US,Tobacco (NEC),22792537
48,SBEV.A,2021-12-31,US,Distillers & Wineries (NEC),22791645
49,AQPW.PK,2021-12-31,US,Bottled Water & Ice,22791639
50,PLAG.A,2021-12-31,US,Food Processing (NEC),22789235
51,AAGR.OQ,2021-12-31,KY,Shell Companies,22787872
52,RGF.OQ,2021-12-31,US,Frozen Food Manufacturing,22787745
53,WBEV.A,2021-12-31,US,Wineries,22787420
54,EAST.OQ,2021-12-31,US,Distilleries,22786741
55,KANP.PK,2021-12-31,US,Land Division & Subdivision,22784879
56,—,2021-12-31,US,Shell Companies,22783042
57,SOWG.PK,2021-12-31,US,Food Processing (NEC),22781797
58,WVVI.OQ,2021-12-31,US,Wineries,22780990
59,VTNA.PK,2021-12-31,US,Organic Farming,22779290
60,BTTR.A,2021-12-31,US,Pet Food Manufacturing,22777357
61,TLCC.PK,2021-12-31,US,Special Foods & Wellbeing Products,22776907
62,BHIL.N,2021-12-31,US,Agricultural Biotechnology,22773192
63,IPO-ALWI.PK,2021-09-30,US,Shell Companies,22755680
64,VYBE.PK,2021-12-31,US,Special Foods & Wellbeing Products,22752794
65,SDSYA.PK,2021-12-31,US,Food Processing (NEC),22750195
66,RIBT.OQ,2021-12-31,US,Food Processing (NEC),22748928
67,GRIL.OQ,2021-12-31,US,Restaurants & Bars (NEC),22746869
68,CELH.OQ,2021-12-31,US,Non-Alcoholic Beverages (NEC),22745783
69,TTCF.OQ,2021-12-31,US,Vegan & Vegetarian Food Manufacturing,22745647
70,BBXIA.PK,2021-12-31,US,Doors & Window Frames,22744536
71,—,2021-12-31,US,Coffee & Tea,22743222
72,SOVO.OQ,2021-12-25,US,Food Ingredients,22742134
73,MILC.PK,2021-12-31,US,Organic Farming,22742029
74,YCRM.PK,2016-10-31,US,Frozen Food Manufacturing,22740884
75,MTEX.OQ,2021-12-31,US,Special Foods & Wellbeing Products,22738183
76,COCO.OQ,2021-12-31,US,Non-Alcoholic Beverages (NEC),22737407
77,FREE.OQ,2021-12-31,US,Food Processing (NEC),22737458
78,GDMK.PK,2021-12-31,US,Food Processing (NEC),22735160
79,TPB.N,2021-12-31,US,Tobacco (NEC),22733731
80,ZVIA.N,2021-12-31,US,Non-Alcoholic Beverages (NEC),22733375
81,BRFH.OQ,2021-12-31,US,Non-Alcoholic Beverages (NEC),22729400
82,CWGL.PK,2021-12-31,US,Wineries,22729136
83,NATR.OQ,2021-12-31,US,Special Foods & Wellbeing Products,22722664
84,LSF.A,2021-12-31,US,Vegan & Vegetarian Food Manufacturing,22722192
85,GGROU.PK,2021-12-31,US,Food Processing (NEC),22720525
86,USBFU.PK,2021-12-25,US,Meat Processing,22712512
87,—,2022-01-02,KY,Food Processing (NEC),22708589
88,VGR.N,2021-12-31,US,Tobacco (NEC),22703685
89,SOY.TO,2022-01-01,CA,Vegan & Vegetarian Food Manufacturing,22703665
90,—,2022-01-01,CA,Bottled Water & Ice,22703253
91,BYND.OQ,2021-12-31,US,Vegan & Vegetarian Food Manufacturing,22699987
92,VFF.OQ,2021-12-31,CA,"Vegetable, Fruit & Nut Farming",22699902
93,BGS.N,2022-01-01,US,Food Processing (NEC),22698514
94,FRPT.OQ,2021-12-31,US,Pet Food Manufacturing,22698528
95,APPH.OQ,2021-12-31,US,"Vegetable, Fruit & Nut Farming",22697851
96,USNA.N,2022-01-01,US,Special Foods & Wellbeing Products,22696669
97,DAR.N,2022-01-01,US,Food Processing (NEC),22693567
98,XXII.OQ,2021-12-31,US,Tobacco (NEC),22693768
99,IFF.N,2021-12-31,US,Food Ingredients,22691370
100,MNST.OQ,2021-12-31,US,Energy Drinks,22691623
101,APRN.N,2021-12-31,US,Food Processing (NEC),22681807
102,MO.N,2021-12-31,US,Cigars & Cigarette Manufacturing,22677419
103,BG.N,2021-12-31,BM,Food Processing (NEC),22672871
104,KDP.OQ,2021-12-31,US,Non-Alcoholic Beverages (NEC),22671334
105,ANDE.OQ,2021-12-31,US,Fishing & Farming Wholesale,22669497
106,MGPI.OQ,2021-12-31,US,Distillers & Wineries (NEC),22666548
107,SITE.N,2022-01-02,US,Agriculture Support Services,22666318
108,FDP.N,2021-12-31,KY,Fishing & Farming (NEC),22663733
109,MED.N,2021-12-31,US,Special Foods & Wellbeing Products,22664608
110,HLF.N,2021-12-31,KY,Special Foods & Wellbeing Products,22663886
111,TAP.N,2021-12-31,US,Brewers (NEC),22661595
112,FLO.N,2022-01-01,US,Bread & Bakery Product Manufacturing,22661468
113,COKE.OQ,2021-12-31,US,Non-Alcoholic Beverages (NEC),22658348
114,K.N,2022-01-01,US,Food Processing (NEC),22658447
115,INGR.N,2021-12-31,US,Food Processing (NEC),22657071
116,HSY.N,2021-12-31,US,Food Processing (NEC),22652624
117,PPC.OQ,2021-12-26,US,Meat Processing,22651862
118,KHC.OQ,2021-12-25,US,Food Processing (NEC),22648419
119,WUYI.PK^I22,2020-08-31,US,Energy Drinks,22648122
120,MOJO.PK,2021-12-31,US,Non-Alcoholic Beverages (NEC),22646636
121,ADM.N,2021-12-31,US,Food Processing (NEC),22645633
122,SEB.A,2021-12-31,US,Food Processing (NEC),22639466
123,THS.N,2021-12-31,US,Food Processing (NEC),22639471
124,PM.N,2021-12-31,US,Tobacco (NEC),22616896
125,PEP.OQ,2021-12-25,US,Carbonated Soft Drinks,22608623
126,MDLZ.OQ,2021-12-31,US,Food Processing (NEC),22592407
127,JVA.OQ,2021-10-31,US,Coffee & Tea,22575149
128,YCRM.PK,2021-10-31,US,Frozen Food Manufacturing,22572216
129,BRID.OQ,2021-10-29,US,Food Processing (NEC),22564353
130,MKC.N,2021-11-30,US,Food Processing (NEC),22563429
131,AAGH.PK,2021-06-30,US,Special Foods & Wellbeing Products,22543886
132,LMNR.OQ,2021-10-31,US,Agriculture Support Services,22521391
133,CVGW.OQ,2021-10-31,US,Fruit & Vegetable Processing,211510174
134,SAFM.OQ^G22,2021-10-31,US,Meat Processing,211506797
135,—,2021-08-31,US,Grain (Crop) Production,211491905
136,HRL.N,2021-10-31,US,Meat Processing,211485047
137,ALCO.OQ,2021-09-30,US,"Vegetable, Fruit & Nut Farming",211474695
138,JJSF.OQ,2021-09-25,US,Snack Food & Non-Chocolate Confectionary,211439371
139,CENT.OQ,2021-09-25,US,Pet Food Manufacturing,211438738
140,POST.N,2021-09-30,US,Breakfast Cereal Manufacturing,211427525
141,BRBR.N,2021-09-30,US,Special Foods & Wellbeing Products,211427492
142,TSN.N,2021-10-02,US,Meat Processing,211406346
143,CHSCP.OQ,2021-08-31,US,Fishing & Farming (NEC),211378092
144,SMPL.OQ,2021-08-28,US,Special Foods & Wellbeing Products,211349100
145,NGTF.PK,2021-06-30,US,Frozen Food Manufacturing,211321787
146,VWE.OQ,2021-06-30,US,Wineries,211321671
147,CSGN.PK^H09,2021-06-30,US,Food Processing (NEC),211321335
148,PME.OQ,2020-12-31,KY,Commercial Fishing,211319696
149,NAPA.N,2021-07-31,US,Wineries,211303163
150,—,2020-12-31,US,Special Foods & Wellbeing Products,211302712
151,SANW.OQ,2021-06-30,US,Grain (Crop) Production,211283649
152,CPB.N,2021-08-01,US,Food Processing (NEC),211271066
153,MJHI.PK,2021-05-31,US,Fishing & Farming (NEC),211249506
154,FARM.OQ,2021-06-30,US,Coffee & Tea,211245522
155,HAIN.OQ,2021-06-30,US,Food Ingredients,211212427
156,LANC.OQ,2021-06-30,US,Food Ingredients,211208846
157,JBSS.OQ,2021-06-24,US,Chocolate & Confectionery,211186957
158,CGSI.PK,2021-04-30,US,Agriculture Support Services,211142752
159,CGSI.PK,2020-04-30,US,Agriculture Support Services,211138775
160,IPO-ALWI.PK,2020-09-30,US,Shell Companies,211135340
161,SUWN.PK,2021-04-30,US,Pharmaceuticals (NEC),211117342
162,LW.N,2021-05-30,US,Food Processing (NEC),211117305
163,CAG.N,2021-05-30,US,Food Processing (NEC),211110894
164,CALM.OQ,2021-05-29,US,Poultry Farming,211096829
165,AAGH.PK,2020-06-30,US,Special Foods & Wellbeing Products,211086460
166,WTER.OQ,2021-03-31,US,Bottled Water & Ice,211071721
167,FIZZ.OQ,2021-05-01,US,Non-Alcoholic Beverages (NEC),211062622
168,GIS.N,2021-05-30,US,Food Processing (NEC),211062594
169,SHMP.PK,2021-03-31,US,Aquaculture,211059000
170,PYYX.PK,2021-03-31,US,Tobacco (NEC),211058648
171,OGAA.PK,2021-03-31,US,Grain (Crop) Production,211057313
172,SHMY.PK,2021-03-31,US,Food Ingredients,211055460
175,CGSI.PK,2019-04-30,US,Agriculture Support Services,211047038
176,SIAF.PK,2020-12-31,US,Fishing & Farming (NEC),211037087
177,BFb.N,2021-04-30,US,Distillers & Wineries (NEC),211027742
178,SJM.N,2021-04-30,US,Food Processing (NEC),211025009
179,SENEA.OQ,2021-03-31,US,Frozen Food Manufacturing,211011488
180,RMCF.OQ,2021-02-28,US,Chocolate & Confectionery,21985933
181,UVV.N,2021-03-31,US,Tobacco (NEC),21977536
182,CIRX.PK,2020-12-31,US,Non-Alcoholic Beverages (NEC),21929216
183,WUYI.PK^I22,2019-08-31,US,Energy Drinks,21904783
184,ROAG.PK,2020-12-31,US,Distillers & Wineries (NEC),21840432
185,MMMB.OQ,2021-01-31,US,Meat Processing,21839130
186,STZ.N,2021-02-28,US,Brewers (NEC),21836752
187,TOFB.PK,2021-01-02,US,Frozen Food Manufacturing,21835527
188,TLCC.PK,2020-12-31,US,Special Foods & Wellbeing Products,21831018
189,KGKG.PK,2020-12-31,US,Non-Alcoholic Beverages (NEC),21829482
190,PACV.PK,2020-12-31,US,Food Processing (NEC),21829450
191,VPRB.PK,2020-12-31,US,Tobacco (NEC),21828926
192,GRIL.OQ,2020-12-31,US,Restaurants & Bars (NEC),21828286
193,MJNE.PK,2020-12-31,US,Agriculture Support Services,21828045
194,GHMP.PK,2020-12-31,US,Non-Alcoholic Beverages (NEC),21826979
195,BRFH.OQ,2020-12-31,US,Non-Alcoholic Beverages (NEC),21825774
196,CWGL.PK,2020-12-31,US,Wineries,21823449
197,ICNB.PK,2020-12-31,US,Distillers & Wineries (NEC),21822240
198,HWTR.PK,2020-12-31,US,Non-Alcoholic Beverages (NEC),21821733
199,CHUC.PK,2020-12-31,US,Tobacco (NEC),21803578
200,AGFY.OQ,2020-12-31,US,Agriculture Support Services,21803058
201,ACBM.PK,2020-12-31,US,Special Foods & Wellbeing Products,21802736
202,AIXN.PK,2020-12-31,US,Health Food Stores,21795455
203,SDSYA.PK,2020-12-31,US,Food Processing (NEC),21794564
204,TEOF.PK,2020-12-31,US,Frozen Food Manufacturing,21794292
205,LIFD.PK,2020-12-31,US,Tobacco (NEC),21794046
206,EAST.OQ,2020-12-31,US,Distilleries,21793885
207,BRBL.PK,2020-12-31,US,Brewers (NEC),21792519
208,PLAG.A,2020-12-31,US,Food Processing (NEC),21792474
209,SOWG.PK,2020-12-31,US,Food Processing (NEC),21790665
210,UGRO.OQ,2020-12-31,US,Agriculture Support Services,21789788
211,BHIL.N,2020-12-31,US,Agricultural Biotechnology,21789541
212,BDPT.PK,2020-12-31,US,Special Foods & Wellbeing Products,21788331
213,REED.OQ,2020-12-31,US,Carbonated Soft Drinks,21787737
214,EWLU.PK,2020-12-31,US,Special Foods & Wellbeing Products,21786411
215,BTTR.A,2020-12-31,US,Pet Food Manufacturing,21786768
216,CATN.PK,2020-12-31,US,Fishing & Farming (NEC),21785472
217,FTLF.PK,2020-12-31,US,Special Foods & Wellbeing Products,21778282
218,AQPW.PK,2020-12-31,US,Bottled Water & Ice,21777133
219,VTNA.PK,2020-12-31,US,Organic Farming,21774012
220,KANP.PK,2020-12-31,US,Land Division & Subdivision,21772180
221,LWAY.OQ,2020-12-31,US,Dairy Products,21770291
222,JSDA.PK,2020-12-31,US,Non-Alcoholic Beverages (NEC),21768857
223,AAGH.PK,2019-06-30,US,Special Foods & Wellbeing Products,21762416
224,HBISD.PK,2020-12-31,US,Food Processing (NEC),21761430
225,TTCF.OQ,2020-12-31,US,Vegan & Vegetarian Food Manufacturing,21759203
226,MTEX.OQ,2020-12-31,US,Special Foods & Wellbeing Products,21756227
227,NBEVQ.PK,2020-12-31,US,Non-Alcoholic Beverages (NEC),21755513
228,—,2021-01-03,KY,Food Processing (NEC),21754987
229,SATT.PK,2020-12-31,US,Corporate Accounting Services,21750578
230,LSF.A,2020-12-31,US,Vegan & Vegetarian Food Manufacturing,21745843
231,VFF.OQ,2020-12-31,CA,"Vegetable, Fruit & Nut Farming",21743632
232,WVVI.OQ,2020-12-31,US,Wineries,21742643
233,CELH.OQ,2020-12-31,US,Non-Alcoholic Beverages (NEC),21731955
234,XXII.OQ,2020-12-31,US,Tobacco (NEC),21731942
235,NATR.OQ,2020-12-31,US,Special Foods & Wellbeing Products,21730882
236,SBEV.A,2020-12-31,US,Distillers & Wineries (NEC),21722706
237,GGROU.PK,2020-12-31,US,Food Processing (NEC),21718357
238,USBFU.PK,2020-12-26,US,Meat Processing,21717024
239,SOY.TO,2021-01-02,CA,Vegan & Vegetarian Food Manufacturing,21709242
240,—,2021-01-02,CA,Bottled Water & Ice,21708735
241,FIFG.PK,2020-12-31,US,Chocolate & Confectionery,21707469
242,SITE.N,2021-01-03,US,Agriculture Support Services,21707066
243,BGS.N,2021-01-02,US,Food Processing (NEC),21704606
244,DAR.N,2021-01-02,US,Food Processing (NEC),21704348
245,USNA.N,2021-01-02,US,Special Foods & Wellbeing Products,21703172
246,BYND.OQ,2020-12-31,US,Vegan & Vegetarian Food Manufacturing,21698002
247,MNST.OQ,2020-12-31,US,Energy Drinks,21697469
248,VGR.N,2020-12-31,US,Tobacco (NEC),21696384
249,VYBE.PK,2020-12-31,US,Special Foods & Wellbeing Products,21693846
250,COKE.OQ,2020-12-31,US,Non-Alcoholic Beverages (NEC),21689909
251,MED.N,2020-12-31,US,Special Foods & Wellbeing Products,21687631
252,MO.N,2020-12-31,US,Cigars & Cigarette Manufacturing,21687524
253,MMNT.PK,2020-05-31,US,Distilleries,21686874
254,CGSI.PK,2018-04-30,US,Agriculture Support Services,21675812
255,RIBT.OQ,2020-12-31,US,Food Processing (NEC),21681127
256,ZIVO.OQ,2020-12-31,US,Special Foods & Wellbeing Products,21680571
257,ANDE.OQ,2020-12-31,US,Fishing & Farming Wholesale,21679878
258,KDP.OQ,2020-12-31,US,Non-Alcoholic Beverages (NEC),21679453
259,KO.N,2020-12-31,US,Non-Alcoholic Beverages (NEC),21678826
260,MGPI.OQ,2020-12-31,US,Distillers & Wineries (NEC),21676436
